PERMNO,HdrCUSIP,Ticker,PERMCO,MthCalDt,MthPrc,MthRet,MthVol,ShrOut,DisFacPr,vwretd
84398,78462F10,SPY,46699,2022-11-30,407.680000,0.055592,1746114943,948932,,0.052354
84398,78462F10,SPY,46699,2022-12-30,382.430000,-0.057576,1735973711,938182,0.000000,-0.057120
84398,78462F10,SPY,46699,2023-01-31,406.480000,0.062887,1575449950,936332,,0.071823
84398,78462F10,SPY,46699,2023-02-28,396.260000,-0.025143,1603224252,908282,,-0.024666
84398,78462F10,SPY,46699,2023-03-31,409.390000,0.037125,2516860295,910782,0.000000,0.023950
84398,78462F10,SPY,46699,2023-04-28,415.930000,0.015975,1395780717,923882,,0.008976
84398,78462F10,SPY,46699,2023-05-31,417.850000,0.004616,1780908820,942482,,0.000708
84398,78462F10,SPY,46699,2023-06-30,443.280000,0.064814,1754814099,947582,0.000000,0.066183
84398,78462F10,SPY,46699,2023-07-31,457.790000,0.032733,1374774872,946582,,0.035617
84398,78462F10,SPY,46699,2023-08-31,450.350000,-0.016252,1755315375,917482,,-0.020608
84398,78462F10,SPY,46699,2023-09-29,427.480000,-0.047393,1589390585,944632,0.000000,-0.047391
84398,78462F10,SPY,46699,2023-10-31,418.200000,-0.021709,1999352275,929932,,-0.028865
84398,78462F10,SPY,46699,2023-11-30,456.400000,0.091344,1500345254,951832,,0.092053
84398,78462F10,SPY,46699,2023-12-29,475.310000,0.045662,1643624299,1037732,0.000000,0.053604
84398,78462F10,SPY,46699,2024-01-31,482.880000,0.015926,1700256573,997582,,0.007561
84398,78462F10,SPY,46699,2024-02-29,508.080000,0.052187,1393617806,982332,,0.050583
84398,78462F10,SPY,46699,2024-03-28,523.070000,0.032724,1473501175,1018182,0.000000,0.032450
84398,78462F10,SPY,46699,2024-04-30,501.980000,-0.040320,1593213897,994182,,-0.042724
84398,78462F10,SPY,46699,2024-05-31,527.370000,0.050580,1153296957,1006782,,0.046552
84398,78462F10,SPY,46699,2024-06-28,544.220000,0.035285,888923206,992382,0.000000,0.026073
84398,78462F10,SPY,46699,2024-07-31,550.810000,0.012109,1038489736,1025032,,0.019877
